"nombre_personaje","pelicula_id"
"Fábula",2827
"Jirafa films",2836
"Rouge International (Francia)",2836
"Productora Forastero",2837
"Carrousel Films",2837
"Don Quijote Films",2837
"La Juguera ",2851
"Poetastros",2869
"Pinda Producciones",2870
"Le Tiro Cine",2870
"Zetra Films",2853
"La Taguara Fílmica",2853
"Hormiga Films Productora Audiovisual",3000
"Ocio",3009
"Rei (Argentina)",3009
"Chile Films",3009
"Cine Sur",3009
"Valdivia Film S.A.",3014
"Mediapro (España)",3014
"France 3",3014
"Atacama Producciones",3014
"Perut + Osnovikoff",3061
"Taskovski Films",3061
"Dirk Manthey Film",3061
"Fábula",3011
"Ceneca Producciones",3079
"Potenza producciones (España)",3079
"Sudestada Cine (Argentina)",3079
"Niko Film (Alemania)",3079
"Bengala Films",3085
"Picardía Films",3100
"Bamboosa",3120
"Tondero (Perú)",3120
"Protagonista Films",3123
"La Ventana Cine",3124
"Vivienne Barry Producciones Audiovisuales EIRL ",3126
"Fábula",3150
"Funny Ballloons",3150
"Versatile",3150
"Diroriro",3150
"Escala Humana",3164
"Valcine S.A.",3164
"Sobras Producciones",3203
"Words & Facts Films",2899
"Panchito Films",3316
"Fábula",3321
"Funny Ballloons",3321
"Az Films (Argentina)",3321
"Setembro Cine",3321
"Participant Media",3321
"Antipoder",1753
"La fábrica nocturna",3316
"Vosges Télévision",3316
"Nerco Producciones",3428
"Micromundo Producciones",2900
