"nombre_personaje","pelicula_id"
"Julio Abarca",2877
"Roberto Espinoza",2833
"Frank Rojas",2853
"Mario Rodríguez",2916
"Nadine Voulliéme",2483
"Mauricio Molina",2483
"Miguel Hormazábal",3009
"Miguel Hormazábal",3011
"Álvaro Silva",3014
"Jean Jaques Quinet",3014
"Eric del Valle",3010
"Roberto Espinoza",3010
"Mauricio Molina",1982
"Roberto Espinoza",3021
"Juan Pablo Manríquez",3021
"Cristián Larrea",3021
"Poncho Gonzáles",3048
"Carmen Borgia",3048
"Cristián Freund",3060
"Mario Puerto",3060
"Iván Osnovikoff",3061
"Martín Grignaschi",3079
"Pedro Ormeño",3085
"Fernando Soldevilla",3100
"Cristián Mascaró",3123
"Francisco Escobar",3124
"Nadine Voulliéme",3126
"Gustavo Araya",2706
"Roberto Espinoza",3164
"Rocío Bravo",3169
"Mauricio López",3172
"Mauricio Molina",3172
"José de la Vega",3022
"Roberto Espinoza",3022
"Mauricio Molina",3203
"Cristián Mascaró",53
"Nicolás Rojas",2647
"Herman Monges",3309
"Juan Pablo Paez",2899
"Miguel Hormazábal",3321
"Boris Herrera",3316
"Claudio Vargas",3316
"Daniel Pellerin",3419
"Maciel Alarcón",3428
"Aníbal Pinto ",3428
"Felipe Vergara",3458
"Yanislav Ostoic",2243
