"nombre_personaje","pelicula_id"
"Che Sandoval",2403
"Isabel Miquel",2421
"Lorena Giachino Torréns",1192
"Marcela Said Cares",2475
"Julio Rojas",2475
"Bernardo Quesney",2483
"Pedro Peirano",2483
"Nona Fernández",3060
"Claudia Barril",3060
"Pedro Ruminot",2520
"Fabrizio Copano",2520
"Diego Ruiz",2524
"Shawn Garry",2524
"Mateo Iribarren",2562
"Isabel Ayguavives",2563
"Gonzalo Díaz Ugarte",2564
"Trinidad Jiménez",2564
"Alejandro Lagos",2566
"Pablo Paredes",2580
"Moisés Sepúlveda",2580
"Sebastián Sepúlveda",2588
"Matías Rojas",2603
"Nicolás López",2604
"Guillermo Amoedo",2604
"Nicolás López",2169
"Guillermo Amoedo",2169
"Javiera González (II)",2607
"Javier Valderrama",2607
"Nicolás Herrera",2607
"Iván Tziboulka",2609
"Ronnie Radonich",2609
"Fernando Lasalvia",2211
"Antonia Saldivia",2647
"Camilo San Juan",2647
"Lalo Prieto",2637
"Jalil Riff",2637
"María de la Luz González",2678
"Ignacio González",2678
"Luisa Hurtado",2678
"Josefina Fernández",2704
"Pablo Illanes",2704
"Sebastián Badilla",2706
"Gonzalo Badilla",2706
"Alejandro Fernández Almendras",2715
"Mario Velasco C.",2738
"Juan Vicente Araya",2740
"Maite Alberdi",2741
"Christopher Murray",2741
"Antonio Luco",2741
"Mateo Iribarren",2744
"Sebastián Lelio",2781
"Gabriel Osorio",2785
"Carolina García",2787
"Jorge Durán",2788
"Matías Pinochet",2347
"Germán Ovando",2347
"Fabrizio Copano",2827
"Rodrigo Sepúlveda",2833
"Sergio Freire",2835
"Rodrigo Salinas",2835
"Nicolás López",2835
"Diego Ayala",2835
"Cristián Jiménez",2836
"Isidora Marras",2837
"Catalina Calcagni",2837
"Daniel Castro",2836
"Nicolás Gonzales",2851
"Ignacio Mardones",2851
"Miguel Littin",2853
"Rodrigo Antonio Norero",2861
"Galut Alarcón",2869
"Mauricio López Fernández",2870
"Dominga Sotomayor",2876
"Manuela Martelli",2876
"Lisandro Rodriguez",2876
"Carolina García Bloj ",2877
"Ernesto Díaz",2885
"Guillermo Prieto",2885
"Andrea Sanz",2885
"Diego Ayala",2885
"Paola Castillo",2897
"Jorge Yacoman",2899
"Maite Alberdi",2900
"Guillermo Amoedo",2914
"Emilio Romero",2916
"Francisco Bobadilla",2916
"Luis Ponce",2916
"Vladimir Rivera",3000
"Enrique Videla",3000
"Felipe Rojas",2562
"Elisa Eliash",3009
"Alicia Scherson",3009
"Álvaro Díaz",3009
"Sergio Castro San Martín",3010
"Guillermo Calderón",3011
"Daniel Villalobos",3011
"Patricio Guzmán",3014
"Pablo Larraín",3011
"Marcia Tambutti",3021
"Paola Castillo",3021
"Bruni Burres",3021
"Valeria Vargas",3021
"Rodrigo Antonio Norero",3022
"Sergio Castilla",3048
"Sebastián Moreno",3060
"Julio Rojas",3079
"Matías Bize",3079
"Coti Donoso",3085
"Carla Higueras",3085
"Diego Rougier",3100
"Rodrigo Vergara Tampe",3100
"Fernando Castets",3120
"Cristóbal Valderrama",3123
"Nicolás Saavedra",3123
"Carlos Labbé",3123
"Carola Fuentes",3124
"Rafael Valdeavellano",3124
"Vivienne Barry",3126
"Renato Villegas",3126
"Sebastián Silva",3150
"Sebastián Brahm",3164
"Yassin Velásquez",3169
"Constanza Erenchun",3169
"Guillermo Amoedo",3172
"Nicolás López",3172
"Eli Roth",3172
"Nicolás López",3203
"Diego Ayala",3203
"Daniel Castro",2785
"Alberto Serrano Fillol",3309
"Francisco Hervé",3316
"Guillermo Calderón",3321
"María Teresa Larraín",3419
"Cristóbal Olivares",3428
"Felipe Villanueva",3428
"Juan Carlos Ormeño",3428
"Alvaro de la Barra",3458
"Manuel Venegas Chaparro",3582
