"nombre_personaje","pelicula_id"
"Sergio Armstrong ",3010
"Katell Djian",3014
"David Bravo",3021
"Eduardo Cruz Coke",3021
"Andrés Jordán",3022
"Benito Caro",3048
"Rodrigo Fernández",3048
"David Bravo",3048
"Sebastián Moreno",3060
"Pablo Valdés",3061
"Arnaldo Rodríguez",3079
"Pablo Insunza",3085
"Antonio Quercia",3100
"Mauro Veloso",3120
"José Luis Canales",3123
"Pablo Valdés",3124
"Arnaldo Rodríguez",3126
"Sergio Armstrong ",3150
"Benjamín Echazarreta",3164
"Sergio Armstrong ",3164
"Eduardo Bunster",3169
"Antonio Quercia",3172
"Antonio Quercia",3203
"Sebastián Caro",3124
"Andrés Gallegos",2647
"Cristóbal Azócar",3309
"David Bravo",3316
"Sergio Armstrong ",3321
"Arnaldo Rodríguez",3419
"Daniel Grant",3419
"Roberto Muñoz",3428
"Carlos Vásquez Méndez",3458
"Inti Briones",3458
"Jackson Elizondo",3458
"Leonardo Quezada",3582
