Ano,productora,titulo,monto asignado,genero
2010,BF Distribution,Post Mortem,"14,907,410",Ficción
2010,Educación Interactiva Ltda,Viaje al Big Bang,"14,628,000",Documental
2010,Jirafa Ltda.,Manuel de Ribera,"8,650,000",Ficción
2011,Jirafa Ltda.,Del Rock a la Eternidad,"9,000,000",Documental
2011,Comercializadora BF Limitada,BabyShower,"14,944,287",Ficción
2011,"Noe, Ceppi y Louit compañía Limitada","Portales, La última Carta","9,140,356",Documental
2011,Comercializadora BF Limitada,El Limpiapiscinas,"13,499,035",Ficción
2011,Comercializadora BF Limitada,3:34,"14,331,006",Ficción
2011,La Nenas Gestión y Producción Cultural Ltda.,Metro Cuadrado,"7,532,500",Ficción
2011,Luis R. Vera Producciones EIRL,La Independencia Inconclusa,"3,276,500",Documental
2011,Alter Producciones Audiovisuales Ltda,El Tesoro de América - El oro de Pascua Lama,"6,157,185",Documental
2011,Calderón y Fuenzalida Ltda,La Espera,"3,240,000",Ficción
2011,Perut+Osnovikoff Ltda,La Muerte de Pinochet,"8,965,222",Documental
2011,Niles Atallah Goncalves EIRL,Lucía,"9,647,169",Ficción
2011,Jirafa Ltda.,Nostalgia de la Luz,"9,687,213",Documental
2011,Comercializadora BF Limitada,Violeta se fue a los cielos,"15,000,000",Ficción
2011,Invercine,Bombal,"13,725,542",Ficción
2011,Servicios Audiovisuales Christian Jorge Aspee Aravena E.I.R.L.,La Noche de Enfrente,"13,500,000",Ficción
2011,Comercializadora BF Limitada,Ulises,"13,077,620",Ficción
2011,Comercializadora BF Limitada,Que pena tu boda,"15,000,000",Ficción
2011,Proyecta Producciones Limitada,Electrodomésticos,"7,114,750",Documental
2011,Sahara Films Producciones S.A.,¿Alguién ha visto a Lupita?,"14,998,803",Ficción
2011,Angel Films Limitada,Sangre Eterna,"10,738,352",Ficción
2011,Malaparte Producciones Ltda,Perro Muerto,"5,500,758",Ficción
2011,Marcela Paz Said Cares,El Mocito,"9,270,000",Documental
2011,Jirafa Ltda.,Gatos Viejos,"12,301,111",Ficción
2011,El Costillar Films Limitada,Dios me Libre,"9,333,400",Ficción
2011,Servicios Audiovisuales María Paz Gonzalez Guzmán EIRL,Hija,"7,763,359",Documental
2012,Producciones y Asesorías Spondylus Ltda,Cóndor,"11,759,000",Ficción
2012,Afro Producciones Limitada,El lenguaje del tiempo,"10,695,000",Ficción
2012,Jirafa Ltda,Bonsai,"12,354,111",Ficción
2012,Cineanimadores S.A.,"Selkirk, el verdadero Robinson Crusoe","15,000,000",Ficción
2012,Perelman y Del Río Producciones Cinematogrñaficas Ltda,La lección de pintura,"10,584,000",Ficción
2012,Promoción de Cine Ltda,Bahía Azul,"10,397,512",Ficción
2012,Comercializadora BF Limitada,Joven y Alocada,"14,998,896",Ficción
2012,Andres Wood Producciones S.A.,Mi último Round,"11,098,000",Ficción
2012,Comercializadora BF Limitada,Sal,"13,792,713",Ficción
2012,Comercializadora BF Limitada,El año del tigre,"12,451,440",Ficción
2012,Valcine S.A.,Los Archivos del Cardenal y Cumpleaños,"8,241,550",Ficción
2012,Comercializadora BF Limitada,NO,"15,000,000",Ficción
2012,Antipoder SpA,Palestina al Sur,"5,955,024",Documental
2012,Producciones Audiovisuales a Escala Humana Ltda.,El Circuito de Román,"8,960,105",Ficción
2012,Constanza Fernández Producciones EIRL,Mapa para conversar,"6,444,404",Ficción
2012,Servicios Audiovisuales Ltda.,Sentados frente al fuego,"10,393,000",Ficción
2012,Green Films S.A.,"Marcelo, la mafia y la estafa","15,000,000",Ficción
2012,Comercializadora BF Limitada,Paseo de Oficina,"14,880,000",Ficción
2012,Paula Leonvendagar Hurtado Producciones EIRL,Creo,"11,657,500",Ficción
2012,Producciones Antonia Santa Maria Limitada,Pérez,"7,776,019",Ficción
2012,El Paseo Digital Limitada,Las mujeres del pasajero,"5,690,000",Documental
2012,Tatiana Lorca Producciones Audiovisuales Ltda,La Mudanza,"6,104,056",Ficción
2012,Rojas y Ugarte Compañía Limitada,"Blokes, La Ducha, Quiebre espontáneo, Memorias del viento, Videojuego.","6,995,450",Ficción
2012,Servicios Audiovisuales Ltda.,Zoológico,"9,352,000",Ficción
2012,Producción y Distribución de Cine Jirafa Ltda.,IL Futuro,"14,922,875",Ficción
2012,Producción y Distribución de Cine Jirafa Ltda.,Miguel San Miguel,"14,639,611",Ficción
2012,Comercializadora BF Limitada,Que pena tu familia,"14,848,500",Ficción
2012,Comercializadora BF Limitada,El Babysitter,"14,552,034",Ficción
2012,Forastero Ltda,De Jueves a Domingo,"10,800,000",Ficción
2012,Globo Rojo Producciones Limitada,La última estación,"7,618,952",Ficción
2012,Olguin y Compañía Ltda,"Caleuche, el llamado del mar","15,000,000",Ficción
2012,Producciones Play Ltda.,Verano,"6,522,500",Documental
2012,CK Films Spa,Dónde vuelan los cóndores,"13,578,424",Ficción
2012,Ceneca Producciones Ltda.,Carne de Perro,"11,758,020",Ficción
2013,Producciones Macarena Andrea López Bergeret EIRL,Gleisdreieck,"5,449,999",Ficción
2013,Producciones y Asesorías Spondylus Ltda.,La Cacería,"13,875,000",Ficción
2013,Esteban Larraín Roa Servicios Audioviduales EIRL,La pasión de Michelangelo,"12,740,910",Ficción
2013,Olguín y Compañía Ltda.,Voces del Bosque,"15,000,000",Ficción
2013,Manuel Venegas Chaparro,Punto de Partida,"6,124,602",Ficción
2013,Invercine Producciones Ltda.,Bim Bam Bum,"15,000,000",Ficción
2013,Invercine Producciones Ltda.,Las cosas son como son,"9,282,500",Ficción
2013,Errante Producciones Ltda.,El Salvavidas,"7,486,341",Documental
2013,Comercializadora BF Limitada,Gloria,"13,628,589",Documental
2013,Green Films S.A.,Tráiganme la cabeza de la mujer metralleta,"11,595,750",Documental
2013,"Matías Pinochet García, prestación de servicios audiovisuales y publicitarios E.I.R.L.","Los Rockers, rebelde Rock and Roll","7,955,450",Documental
2013,"Sallato, Larraín y Sabatini Producciones Limitada",Adictos al claxon,"10,086,200",Documental
2013,Comercializadora BF Ltda,Barrio Universitario,"14,999,546",Ficción
2013,Afro Producciones Ltda.,El lugar encantado,"10,100,000",Ficción
2013,Green Films S.A.,Soy mucho mejor que vos,"13,072,222",Ficción
2013,Productora Barrera y Soto Ltda,Minero,"4,779,192",Ficción
2013,Comercializadora Market Chile Ltda,"Asociativo Mercados Internacionales: Que pena tu vida, Que pena tu boda, Que pena tu familia, Las cosas como son, La mujer de Iván, Ulises Morales, No eres tú soy yo, Iglú.","18,400,000",Ficción
2013,Comerzializadora Market Chile Ltda.,Ulises Morales (ahora Morales el Reformador),"12,545,000",Ficción
2013,Comerzializadora Market Chile Ltda.,Iglú,"5,880,000",Ficción
2013,Comerzializadora Market Chile Ltda.,Promedio Rojo 2: Mis peores amigos,"14,830,633",Ficción
2014,Producción y Distribución Jirafa Ltda.,Verano de los peces voladores,"12,813,000",Ficción
2014,Productora Audiovisual Rosario Jiménez Gili EIRL,Vida con ciencia,"4,395,555",Documental
2014,Comercializadora Market Chile Ltda.,El incontrolable mundo del azar,"7,411,200",Ficción
2014,Comercializadora Market Chile Ltda.,Mejor estar sólo,"9,549,225",Ficción
2014,Dávila y Stindt Imágenes Ltda.,"Aquí estoy, aquí no","8,400,000",Ficción
2014,Comercializadora Market Chile Limitada,El Derechazo,"14,750,000",Ficción
2014,Comercializadora Market Chile Limitada,Video club,"14,003,646",Ficción
2014,Comercializadora Market Chile Limitada,El tío,"14,000,000",Ficción
2014,Producciones y Asesoráis Spondylus Ltda.,Pachapulai,"14,275,000",Ficción
2014,Comercializadora Market Chile Limitada,Mamá ya crecí,"13,425,256",Ficción
2014,Ant Fire Productions SpA,Hijo del Trauco,"13,600,000",Ficción
2014,Asesorías y Producciones Fábula Ltda.,Cero-Nueve,"14,448,000",Ficción
2014,Comercializadora Market Chile Limitada,I am from Chile,"2,900,000",Ficción
2014,Comercializadora Market Chile Limitada,Neruda Fugitivo,"14,480,484",Ficción
2014,S 3D Spa,El sueño de todos,"10,390,550",Documental
2014,Fundación CinemaChile,Crystal Fairy y el cactus mágico,"9,500,000",Ficción
2014,Agencia de Comunicaciones y Productora C Comunica Ltda,El Mago,"12,950,000",Ficción
2014,Diego Pino Comunicación Audiovisual EIRL,Propaganda,"4,932,748",Documental
2014,Planta Producciones Ltda.,Las Analfabetas,"10,950,000",Ficción
2014,Errante Producciones Ltda.,La Comunidad,"7,011,111",Documental
2014,Audiovisual Don Quijote Films Ltda.,Soy mucho mejor que vos,"9,000,000",Ficción
2014,Producciones Angélica Chamila Rodríquez Ávila EIRL,La invención de la patria,"7,504,117",Documental
2014,Globo Rojo Producciones Ltda.,Pueblo Chico Gente Grande,"6,866,775",Documental
2014,Bernardita Ojeda Producción Gráfica y Audiovisual EIRL,Hostal Morrison I y II / Helados / Korococó / Omm Moo Yoga para niños,"5,493,404",Ficción
2014,Parox S.A.,El árbol magnético,"10,800,000",Ficción
2014,Errante Producciones Ltda.,El gran circo pobre de Timoteo,"6,766,110",Documental
2014,Mano de Obra Audiovisual Limitada,Héroes,"15,000,000",Ficción
2014,Comercializadora Market Chile Ltda,Fuerzas Especiales,"14,980,000",Ficción
2014,Servicios Audiovisuales Limitada,Matar a un hombre,"14,950,000",Ficción
2014,Picardía Films Producciones Ltda.,Génesis Nirvana,"9,749,000",Ficción
2014,Científico Loco Producciones Limitada,Volantín Cortao,"3,564,775",Ficción
2014,Servicios Comunicacionales Camilo Klein Hodar EIRL,Apio Verde,"7,900,000",Ficción
2014,Fundación CinemaChile,Las niñas Quispe,"11,800,000",Ficción
2014,Fundación CinemaChile,Raíz,"8,180,000",Ficción
2014,Forastero Producciones Ltda,Aurora,"7,500,000",Ficción
2014,Globo Rojo Producciones Ltda.,Ver y Escuchar,"7,954,450",Documental
2014,Invercine Producciones Ltda.,Los Jetas,"8,550,000",Ficción
2015,Cinestación Ltda,MAR,"5,093,210",Ficción
2015,BARRIL MORENO Y COMPAÑÍA LIMITADA,HABEAS CORPUS,"9,390,000",Documental
2015,AMORES EN EL SUR SPA,PERLA,"8,619,100",Ficción
2015,LA CASA ,EL CLUB,"18,000,000",Ficción
2015,VALCINE,FABULOSAS FLORES,"17,964,422",Ficción
2015,MARKET CHILE,EL BOSQUE DE KARADIMA,"18,000,000",Ficción
2015,MARKET CHILE,ALLENDE EN SU LABERINTO,"18,000,000",Ficción
2015,Gian Carlo Nasi Cañas Producciones Audiovisuales,DESASTRES NATURALES,"15,236,750",Ficción
2015,LIBÉLULA POST LTDA,VACACIONES EN FAMILIA,"14,755,000",Ficción
2015,Audiovisual Don Quijote Films Limitada,CHILE FACTORY,"17,010,000",Ficción
2015,Maite Alberdi Soto Producciones EIRL,LA ONCE,"16,891,925",Ficción
2015,Perut + Osnovikoff Ltda,SURIRE,"12,649,609",Ficción
2015,Cooking the Continent,COOKING THE CONTINENT,"8,941,450",Documental
2015,PRODUCTORA TANTAN FILMS LIMITADA,EN LA GAMA DE LOS GRISES,"10,731,647",Ficción
2015,Jirafa,LA VOZ EN OFF,"18,000,000",Documental
2015,Errante Producciones Ltda.,GENOVEVA,"7,105,000",Documental
2015,Market Chile Limitada,LA MALDICIÓN,"16,000,000",Ficción
2015,PRODUCCIÓN AUDIOVISUAL LUIS IGNACIO SMOK BUSTAMANTE E.I.R.L,RESPIRAR HELADO,"5,726,188",Documental
2015,TREBOL 3 PRODUCCIONES LIMITADA,NAUFRAGIOS,"16,717,064",Ficción
2015,Servicio y Producciones del Desarrollo Limitada,LA MADRE DEL CORDERO,"5,354,168",Ficción
2015,Ceneca Producciones Ltda.,LA MEMORIA DEL AGUA,"17,956,793",Ficción
2015,Errante Producciones Ltda.,ALENDE MI ABUELO ALLENDE,"13,280,000",Ficción
2015,Forastero Producciones Audiovisuales ,NO SOY LORENA,"14,500,000",Ficción
2015,BENGALA FILMS PRODUCCIONES ,CUANDO RESPIRO,"11,260,863",Ficción
2015,MARKET CHILE,ALMA,"17,250,000",Ficción
2015,La Casa Producciones Limitada,NASTY BABY,"16,000,000",Ficción
2015,A Escala Humana,LA VIDA SEXUAL DE LAS PLANTAS,"18,000,000",Ficción
2015,MARKET CHILE,EL BOTÓN DE NÁCAR,"18,000,000",Documental
2015,Protagonista Films S.A,EL NOMBRE,"10,286,891",Ficción
2015,Zumbastico Studios ,HORACIO Y LOS PLASTICINES,"16,400,000",Ficción
2015,Words & Facts Films Ltda,LA COMODIDAD EN LA DISTANCIA,"3,580,885",Ficción
2015,Producciones y Asesorías SPONDYLUS Ltda,MONOCYCLE,"20,685,707",Ficción
2015,MARKET CHILE,LUSERS,"13,000,000",Ficción
2015,MARKET CHILE,SEDUCCION FATAL,"10,600,000",Ficción
2015,La Ventana Cine Limitada,CHICAGO BOYS,"12,552,293",Documental
2015,Nerco Producciones Limitada,DE REPENTE,"10,432,100",Ficción
2015,MARKET CHILE,FUERZAS ESPECIALES 2,"18,000,000",Ficción
2015,Ojitos Producciones ltda.,TIKITIKLIP con elenco artesanal,"2,461,000",Ficción
2015,PRODUCCIONES STORYBOARD MEDIA ,LA MUJER DE BARRO,"5,903,123",Ficción
2015,Jennifer Walton Buzada Producciones EIRL,EL HOMBRE NUEVO,"4,069,111",Ficción
2015,Afro Producciones Ltda,LA SALAMANDRA,"9,880,000",Ficción
2015,MARKET CHILE,REDENTOR,"6,700,000",Ficción
2015,MARKET CHILE,SIN FILTRO,"18,000,000",Ficción
2015,Punkrobot Estudio,HISTORIA DE UN OSO,"18,000,000",Ficción
