"pelicula_id","nombre_personaje"
2740,"J. V. A. Films"
2740,"Nicephore Films"
2744,"ManotaFilms"
2403,"Caleidoscopio Cine"
2403,"Don Quijote Films"
2760,"Trébol 3 Producciones LTDA"
2781,"Horamágica"
2785,"Punkrobot"
2788,"Ceneca Producciones"
2788,"El Desierto Filmes Ltda."
2637,"Invercine Producciones"
1769,"Invercine Producciones"
1717,"Invercine Producciones"
2827,"Fábula"
2836,"Jirafa films"
2836,"Rouge International (Francia)"
2837,"Productora Forastero"
2837,"Carrousel Films"
2837,"Don Quijote Films"
2851,"La Juguera "
2869,"Poetastros"
2870,"Pinda Producciones"
2870,"Le Tiro Cine"
2853,"Zetra Films"
2853,"La Taguara Fílmica"
3000,"Hormiga Films Productora Audiovisual"
3009,"Ocio"
3009,"Rei (Argentina)"
3009,"Chile Films"
3009,"Cine Sur"
3014,"Valdivia Film S.A."
3014,"Mediapro (España)"
3014,"France 3"
3014,"Atacama Producciones"
3061,"Perut + Osnovikoff"
3061,"Taskovski Films"
3061,"Dirk Manthey Film"
3011,"Fábula"
3079,"Ceneca Producciones"
3079,"Potenza producciones (España)"
3079,"Sudestada Cine (Argentina)"
3079,"Niko Film (Alemania)"
3085,"Bengala Films"
3100,"Picardía Films"
3120,"Bamboosa"
3120,"Tondero (Perú)"
3123,"Protagonista Films"
3124,"La Ventana Cine"
3126,"Vivienne Barry Producciones Audiovisuales EIRL "
3150,"Fábula"
3150,"Funny Ballloons"
3150,"Versatile"
3150,"Diroriro"
3164,"Escala Humana"
3164,"Valcine S.A."
3203,"Sobras Producciones"
2899,"Words & Facts Films"
3316,"Panchito Films"
3321,"Fábula"
3321,"Funny Ballloons"
3321,"Az Films (Argentina)"
3321,"Setembro Cine"
3321,"Participant Media"
1753,"Antipoder"
3316,"La fábrica nocturna"
3316,"Vosges Télévision"
3428,"Nerco Producciones"
2900,"Micromundo Producciones"
