agno,titulo,linea,region,tipo,responsable,monto
2007,"ALICIA EN EL PAÍS, EN LOS MEJORES CINES.",CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,ESTEBAN LARRAÍN ROA SERVICIOS AUDIOVISUALES E.I.R.L.,"  50,000,000 "
2007,"LARGOMETRAJE ""EL CIRCUITO DE ROMÁN""",CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,PRODUCCIONES AUDIOVISUALES A ESCALA HUMANA LTDA.,"  83,927,526 "
2007,POSTPRODUCCION MI VIDA CON CARLOS,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,CINEDIRECTO PRODUCCIONES LIMITADA,"  44,999,280 "
2007,ISLA 10 COPRODUCCION,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,AZUL FILMS S.A.,"  135,000,000 "
2007,SALVADOR,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,FERNANDO VALENZUELA Y CIA. LTDA.,"  49,962,307 "
2007,LA LECCIÓN DE PINTURA,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,PERELMAN Y DEL RIO PRODUCCIONES CINEMATOGRÁFICAS LTDA,"  74,989,191 "
2007,UN NOMBRE PARA ANA,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA NATURAL,ANTONIA ROSSI CHARNES,"  34,798,111 "
2007,TIEMPOS MALOS,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,TIBURON PRODUCCIONES S.A.,"  74,473,043 "
2008,ABUELOS,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,EXT.,PERSONA NATURAL,CARLA VALENCIA DAVILA,"  41,922,868 "
2008,SINDROME DE ULISES,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,ASESORIAS Y PRODUCCIONES FABULA LIMITADA,"  149,464,840 "
2008,UN NOMBRE PARA ANA,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,PRODUCTORA AUDIOVISUAL,"  29,753,662 "
2008,POST MORTEM,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,ASESORÍAS Y PRODUCCIONES FABULA LIMITADA,"  124,571,200 "
2008,POST PRODUCCION TURISTAS,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,PRODUCCIONES PLAY LTDA.,"  34,929,400 "
2008,MI ULTIMO ROUND,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,PRODUCCIONES CINEMATOGRAFICAS UMANA LIMITADA,"  125,000,000 "
2008,LA MUERTE DE PINOCHET,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,PERUT + OSNOVIKOFF LIMITADA,"  27,329,776 "
2008,POSPRODUCCIÓN DOCUMENTAL MAPOCHO,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,MAR HUMANO PRODUCCIONES AUDIOVISUALES EIRL,"  30,000,000 "
2008,LOCASMUJERES,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,IGENIO VISUAL S.A.,"  42,498,467 "
2008,"SELKIRK, LA VERDADERA HISTORIA DE ROBINSON CRUSOE",CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,CINEANIMADORES S.A.,"  118,093,088 "
2008,YO SOY TERESA WILMS,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,GAVIOLA Y GARCÍA PRODUCCIONES DE CINE Y TELEVISIÓN LTDA,"  49,999,783 "
2008,LA VIDA DE LOS PECES,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,CENECA PRODUCCIONES LTDA.,"  116,000,000 "
2008,"DOCUMENTAL ""D-22, ALAMAR"" - POSTPRODUCCIÓN",CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA NATURAL,MACARENA AGUILÓ MARCHI,"  49,214,393 "
2008,A ORILLAS DE LA CIUDAD,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA NATURAL,PATRICIA ANDREA BUSTOS PEÑAFIEL,"  37,925,026 "
2008,GENOVEVA,CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA NATURAL,PAOLA ALEJANDRA CASTILLO VILLAGRAN,"  62,854,357 "
2008,"DOCUMENTAL ""CUANDO RESPIRO""",CREACIÓN Y PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA NATURAL,MARIA ISABEL (COTI) DONOSO URRUTIA,"  25,443,140 "
2009,EL TESORO DE AMERICA- EL ORO DE PASCUA LAMA,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,ALTER PRODUCCIONES AUDIOVISUALES LIMITADA,"  74,452,386 "
2009,"EL FUTURO, LARGOMETRAJE 35MM",PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,XIV,PERSONA JURÍDICA,PRODUCCIONES PLAY LTDA.,"  125,000,000 "
2009,JOVEN Y ALOCADA,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,ASESORIAS Y PRODUCCIONES FABULA LIMITADA,"  124,559,200 "
2009,"SIN ALMA, LARGOMETRAJE DOCUMENTAL HDV A 35MM",PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,"BARRIL, MORENO Y CIA. LTDA.","  82,989,000 "
2009,"RODAJE Y POST PRODUCCIÓN LARGOMETRAJE: ""SENTADOS FRENTE AL FUEGO""",PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,SERVICIOS AUDIOVISUALES LIMITADA EL REMANSO CINE LTDA,"  115,009,775 "
2009,SAL,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,PICARDÍA FILMS PRODUCCIONES LTDA.,"  123,000,000 "
2009,"LA OTRA CARA DE LA MONEDA, LA BÚSQUEDA DE MI ABUELO ALLENDE  ",PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,ERRANTE PRODUCCIONES LIMITADA ,"  69,744,428 "
2009,"VIOLETA, SE FUE A LOS CIELOS",PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,ANDRES WOOD PRODUCCIONES S.A.,"  138,315,000 "
2009,"RODAJE Y POSTPRODUCCIÓN ""SYBILA""",PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,LUPE FILMS E.I.R.L.,"  63,504,116 "
2009,LA VIRGEN DE PEÑABLANCA,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,PIRANHA FILMS EIRL,"  115,262,500 "
2009,NOTICIAS,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,PERUT + OSNOVIKOFF LIMITADA,"  12,615,100 "
2009,"COPRODUCCIÓN LARGOMETRAJE ""ALGUIÉN HA VISTO A LUPITA""",PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,SAHARA FILMS PRODUCCIONES S.A.,"  149,709,192 "
2009,OJOS ROJOS,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA NATURAL,JUAN IGNACIO SABATINI MUJICA,"  45,029,669 "
2009,EL GRAN CIRCO POBRE DE TIMOTEO,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA NATURAL,LORENA ALEJANDRA GIACHINO TORRÉNS,"  63,542,453 "
2010,"BONSAI, LARGOMETRAJE TERMINADO EN 35 MM",PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,XIV,PERSONA JURÍDICA,PRODUCCIÓN Y DISTRIBUCIÓN DE CINE JIRAFA LIMITADA,"  125,000,000 "
2010,"EL VERANO DE LOS PECES VOLADORES, LARGOMETRAJE 35MM",PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,XIV,PERSONA JURÍDICA,PRODUCCIÓN Y DISTRIBUCIÓN DE CINE JIRAFA LIMITADA,"  150,000,000 "
2010,INMEDIAT SANTIAGO,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,V,PERSONA JURÍDICA,CORNUCOPIA PRODUCCIONES AUDIOVISUALES,"  75,980,989 "
2010,"RODAJE LARGOMETRAJE DOCUMENTAL DE CREACIÓN ""PARASANG""",PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,V,PERSONA NATURAL,CRISTÓBAL VICENTE CRUZ,"  24,574,455 "
2010,PENA DE MUERTE,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,V,PERSONA NATURAL,ALVARO (TEVO) RAFAEL GERMÁN DÍAZ RAMÍREZ,"  59,570,808 "
2010,LARGOMETRAJE VERANO DE JOSÉ LUIS TORRES LEIVA,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,PRODUCCIONES PLAY LTDA. (O LA VENTURA LTDA.),"  93,780,166 "
2010,DE JUEVES A DOMINGO,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,PRODUCCIONES AUDIOVISUALES FORASTERO LTDA.,"  130,352,975 "
2010,PERDÓN MAMÁ,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,MUCHAS GRACIAS LTDA.,"  124,911,206 "
2010,GEOMETRÍA Y MISTERIO,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,IGNACIO AGÜERO Y ASOCIADO,"  88,542,373 "
2010,"POSTPRODUCCION LARGOMETRAJE ""AUSENTE""",PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,PROMOCINE LTDA.,"  49,626,295 "
2010,LUCÍA: POSTPRODUCCIÓN,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA NATURAL,NILES JAMIL ATALLAH GONSALVES,"  27,778,757 "
2010,LAS HUELLAS DEL CHAITÉN,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA NATURAL,IVÁN TZIBOULKA KIRILOV,"  42,050,255 "
2010,74 METROS CUADRADOS,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA NATURAL,MARÍA SOLEDAD SILVA ABRANETTO,"  49,550,535 "
2010,INHABITABLE,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA NATURAL,JAIME MARCELO DÍAZ LAVANCHY ,"  70,613,969 "
2010,VENÍAN A BUSCARME,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA NATURAL,ALVARO DE LA BARRA PUGA,"  89,134,926 "
2010,POSTPRODUCCIÓN LARGOMETRAJE MITÓMANA,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA NATURAL,PAOLA ANDREA LATTUS RAMOS,"  49,958,013 "
2010,ISIDORA AGUIRRE : DOY POR VIVIDO TODO LO SOÑADO. LARGOMETRAJE DOCUMENTAL. ,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA NATURAL,GILBERTO ANTONIO VILLARROEL ESCOBAR,"  90,000,015 "
2011,"DOS DISPAROS, LARGOMETRAJE COPRODUCCIÓN ARGENTINA-ALEMANIA-CHILE ",PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,XIV,PERSONA NATURAL,"BRUNO, BETTATI SALVO ","  63,331,043 "
2011,SURIRE ,PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,VII,PERSONA JURÍDICA,"PERUT + OSNOVIKOFF LIMITADA,   ","  57,352,398 "
