Idcinechile,Ano,Titulo,Responsable,Monto,Tipo
,2015,Horacio Y Los Plasticines,Zumbastico Studios ,16400000,Corfo
2899,2015,La Comodidad En La Distancia,Words & Facts Films Ltda,3580885,Corfo
,2015,Monocycle,Producciones Y Asesorías Spondylus Ltda,20685707,Corfo
3120,2015,Lusers,Market Chile,13000000,Corfo
3172,2015,Seduccion Fatal,Market Chile,10600000,Corfo
3124,2015,Chicago Boys,La Ventana Cine Limitada,12552293,Corfo
3428,2015,De Repente,Nerco Producciones Limitada,10432100,Corfo
2835,2015,Fuerzas Especiales 2,Market Chile,18000000,Corfo
,2015,Tikitiklip Con Elenco Artesanal,Ojitos Producciones Ltda.,2461000,Corfo
3010,2015,La Mujer De Barro,Producciones Storyboard Media ,5903123,Corfo
,2015,El Hombre Nuevo,Jennifer Walton Buzada Producciones Eirl,4069111,Corfo
3800,2015,La Salamandra,Afro Producciones Ltda,9880000,Corfo
2885,2015,Redentor,Market Chile,6700000,Corfo
3203,2015,Sin Filtro,Market Chile,18000000,Corfo
2785,2015,Historia De Un Oso,Punkrobot Estudio,18000000,Corfo
