"pelicula_id","nombre_personaje"
2080,"Cristián Aguilar"
2080,"Jorge Olguín"
2080,"Sara Silveira"
2335,"Patricia Leiva"
2340,"Ricardo Villarroel "
2347,"Marlene Vargas"
2377,"Pablo Larraín"
2377,"Juan de Dios Larraín"
2168,"Christoph Friedel"
2168,"Claudia Steffen"
2168,"Mario Mazzarotto"
2168,"Emanuele Nespeca"
2168,"Luis Ramírez"
2168,"Alvaro Donoso"
2381,"Pablo Larraín"
2381,"Juan de Dios Larraín"
2377,"Sebastián Lelio"
2377,"Gonzalo Maza"
2760,"Daniel Véliz"
2475,"Bruno Bettati"
2483,"Eugenio Ramírez"
2520,"Juan de Dios Larraín"
2520,"Pablo Larraín"
2524,"Gabriela Sandoval"
2524,"Carlos Núñez"
2524,"Shawn Garry"
2525,"Catalina Vergara"
2562,"Ignacio Santa Cruz"
2563,"Sergio Gándara"
2563,"Rafael Alvarez"
2563,"Ignacio Monge"
2564,"Dominique Martel"
2566,"Diego Rougier"
2580,"Fernando Bascuñán"
2580,"Florencia Larrea"
2580,"Alicia Scherson"
2588,"Juan de Dios Larraín"
2588,"Pablo Larraín"
2603,"Gonzalo Rodríguez"
2169,"Nicolás López"
2607,"Soledad Trejo"
2609,"Pablo Rosenblatt"
2211,"Christian Torres"
2211,"Pablo Mantilla"
2211,"Gonzalo Carracedo"
2647,"Gonzalo Escobar"
2647,"Fernanda Morales"
2637,"Sebastián Freund"
2637,"Carlos Hansen"
2637,"Lalo Prieto"
2704,"Francisca Cummins"
2706,"Sebastián Badilla"
2706,"Gonzalo Badilla"
2715,"Eduardo Villalobos"
2715,"Guillaume De Saille"
2109,"Alan Fischer"
2760,"Juan Pablo Echeverría"
2781,"Úrsula Budnik"
2788,"Gisela Camara"
2788,"Pedro Rossi"
2788,"Gabriel Flores Durán"
2788,"Adrián Solar"
2827,"Juan de Dios Larraín"
2827,"Pablo Larraín"
2833,"Florencia Larrea"
2835,"Miguel Asensio"
2836,"Augusto Matte"
2836,"Cristián Jiménez"
2836,"Nadia Turincev"
2836,"Julie Gayet"
2836,"Nicolas Comeau"
2837,"Gregorio González"
2837,"Josefina Undurraga"
2836,"Bruno Bettati"
2870,"Rebeca Gutiérrez Campos"
2870,"Federico Sande Novo"
2870,"Nicolás Grosso"
2885,"Diego Moral"
2853,"Cristina Littin"
2897,"Paola Castillo"
2899,"Arjoune Casassus"
2900,"Clara Taricco"
2914,"Miguel Asensio"
2914,"Nicolás López"
2787,"Jorge Olguín"
2787,"Macarena Keller"
2787,"Chris Sablan"
2787,"Soledad Sahie"
2787,"Francisca Cifuentes"
2916,"Rafaella Tonini"
3009,"Sebastián Freund"
3010,"Carlos Núñez"
3010,"Gabriela Sandoval"
3011,"Juan de Dios Larraín"
3014,"Renate Sachse"
3014,"Bruno Bettati"
3014,"Fernando Lataste"
3014,"Jaume Roures"
3021,"Paola Castillo"
3022,"Jonathan Molina"
3048,"Sergio Castilla"
3060,"Claudia Barril"
3079,"Adrián Solar"
3079,"Diego Valenzuela"
3079,"Carlo D'ursi"
3079,"Ignacio Rey"
3079,"Gastón Rothschild"
3079,"Nicole Gerhards"
3100,"Diego Rougier"
3100,"Javiera Contador"
3120,"Paola Barrera"
3120,"Carlos Espinoza Furniss"
3120,"Alejandro Carboni"
3120,"Miguel Valladares"
3120,"Carlos Alcántara"
3123,"Cristóbal Valderrama"
3123,"Nicolás Saavedra"
3124,"Rafael Valdeavellano"
3126,"Viviana Erpel"
3126,"Isabel Valenzuela"
3126,"Vivienne Barry"
3150,"Juan de Dios Larraín"
3150,"Pablo Larraín"
3150,"Charlie Dibe "
3150,"David Hinojosa "
3150,"Julia Oh "
3164,"Sebastián Brahm"
3169,"Yassin Velásquez"
3172,"Miguel Asensio"
3172,"Colleen Camp"
3172,"John T. Degraye "
3172,"Nicolás López"
3172,"Eli Roth"
3203,"Miguel Asensio"
3309,"Melisa Gañan"
3309,"Francisca Marticorena"
3309,"Herman Monges"
3309,"Cristóbal Azócar"
2899,"Jorge Yacoman"
3321,"Juan de Dios Larraín"
3321,"Alejandro Zito"
3321,"Juan Pablo García"
3321,"Ignacio Rey"
3321,"Gastón Rothschild"
3321,"Peter Danner "
3321,"Renan Artukmac"
3321,"Fernanda del Nido"
3321,"Jeff Skoll"
3321,"Jonathan King"
3321,"Axel Kuschevatzky"
3316,"Francisco Hervé"
3316,"Verónica Lyon"
3316,"Xavier Rocher"
3316,"Rolf Schilling"
3316,"Jonathan Leidich"
3419,"Ed Barreveld"
3419,"María Teresa Larraín"
3419,"Lisa Valencia-Svensson"
3458,"Alvaro de la Barra"
154,"Patricio Pereira"
792,"Patricio Pereira"
