"pelicula_id","nombre_personaje"
2273,"Fernando Lavanderos"
2273,"Rodrigo Ossandón"
2273,"Gonzalo Verdugo"
2080,"Carolina García"
2292,"Sebastián Badilla"
2292,"Gonzalo Badilla"
2335,"Pablo Berthelon"
2335,"Roberto Trejo"
2340,"Ricardo Villarroel "
2377,"Gonzalo Maza"
2377,"Sebastián Lelio"
2381,"Sebastián Silva"
1377,"Esteban Larraín"
1377,"José Román"
2403,"Che Sandoval"
2421,"Isabel Miquel"
1192,"Lorena Giachino Torréns"
2475,"Marcela Said Cares"
2475,"Julio Rojas"
2483,"Bernardo Quesney"
2483,"Pedro Peirano"
3060,"Nona Fernández"
3060,"Claudia Barril"
2520,"Pedro Ruminot"
2520,"Fabrizio Copano"
2524,"Diego Ruiz"
2524,"Shawn Garry"
2562,"Mateo Iribarren"
2563,"Isabel Ayguavives"
2564,"Gonzalo Díaz Ugarte"
2564,"Trinidad Jiménez"
2566,"Alejandro Lagos"
2580,"Pablo Paredes"
2580,"Moisés Sepúlveda"
2588,"Sebastián Sepúlveda"
2603,"Matías Rojas"
2604,"Nicolás López"
2604,"Guillermo Amoedo"
2169,"Nicolás López"
2169,"Guillermo Amoedo"
2607,"Javiera González (II)"
2607,"Javier Valderrama"
2607,"Nicolás Herrera"
2609,"Iván Tziboulka"
2609,"Ronnie Radonich"
2211,"Fernando Lasalvia"
2647,"Antonia Saldivia"
2647,"Camilo San Juan"
2637,"Lalo Prieto"
2637,"Jalil Riff"
2678,"María de la Luz González"
2678,"Ignacio González"
2678,"Luisa Hurtado"
2704,"Josefina Fernández"
2704,"Pablo Illanes"
2706,"Sebastián Badilla"
2706,"Gonzalo Badilla"
2715,"Alejandro Fernández Almendras"
2738,"Mario Velasco C."
2740,"Juan Vicente Araya"
2741,"Maite Alberdi"
2741,"Christopher Murray"
2741,"Antonio Luco"
2744,"Mateo Iribarren"
2781,"Sebastián Lelio"
2785,"Gabriel Osorio"
2787,"Carolina García"
2788,"Jorge Durán"
2347,"Matías Pinochet"
2347,"Germán Ovando"
2827,"Fabrizio Copano"
2833,"Rodrigo Sepúlveda"
2835,"Sergio Freire"
2835,"Rodrigo Salinas"
2835,"Nicolás López"
